Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Temperature Sensitive Allele	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Channels	Comments
Plate1-TS-Blue-B-Stinger	12	B4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04981	YGR002C	SWC4	swc4-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	13	B5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07869	YFL039C	ACT1	act1-121	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11993	YBL093C	ROX3	rox3-182	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12298	YPR161C	SGV1	sgv1-80	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11714	YGR172C	YIP1	yip1-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07436	YDL028C	MPS1	mps1-6	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10000	YLR045C	STU2	stu2-10	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y08890	YGL116W	CDC20	cdc20-3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07861	YFL039C	ACT1	act1-159	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y04960	YBR087W	RFC5	rfc5-1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11840	YDL105W	NSE4	nse4-ts1	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y11842	YDL105W	NSE4	nse4-ts3	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	"no image, problem with well"
Plate1-TS-Blue-B-Stinger	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y12300	YPR161C	SGV1	sgv1-35	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y07390	YAL041W	CDC24	cdc24-4	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
Plate1-TS-Blue-B-Stinger	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	Y10005	YLR045C	STU2	stu2-12	"SGD, 2011"	"SGD, 2011"		TagYFP:DAD4; mRFP1:SPC42	
