Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Comments
Plate1-Blue-B	14	B6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR096W	KIN2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	15	B7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR114C	AVL9		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	16	B8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	17	C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL058W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	18	C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR015W	BRE2	CPS60	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	19	C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR043C	TRX1	LMA1	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	20	C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR059C	REX2	YNT20	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	21	C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR080W	EMP46		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	22	C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR095C	IOC2		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	23	C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR113W	HOG1	SSK3	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	24	C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	25	D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLL057C	JLP1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	26	D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR014C	PPR1		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	27	D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR042C			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	28	D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR058C	SHM2	SHMT2	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	29	D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR079W	SIC1	SDB25	"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	30	D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR094C	GIS3		"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	31	D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YLR112W			"SGD, 1999"	"SGD, 1999"			YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
Plate1-Blue-B	32	D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	YOR202W	HIS3	HIS10	"SGD, 1999"	"SGD, 1999"	negative control	HIS3-BLANK	YFP:DAD4; mRFP1:SPC42; DIC: whole cell	
