Plate	Plate Column	Plate Row	Well	Well Number	Comments
experiment_21	8	5	E8	56	annotation coming soon
experiment_21	9	5	E9	57	annotation coming soon
experiment_21	10	5	E10	58	annotation coming soon
experiment_22	2	3	C2	26	annotation coming soon
experiment_22	3	3	C3	27	annotation coming soon
experiment_22	4	3	C4	28	annotation coming soon
experiment_22	5	3	C5	29	annotation coming soon
experiment_22	6	3	C6	30	annotation coming soon
experiment_22	7	3	C7	31	annotation coming soon
experiment_22	8	3	C8	32	annotation coming soon
experiment_22	9	3	C9	33	annotation coming soon
experiment_22	10	3	C10	34	annotation coming soon
experiment_22	2	4	D2	38	annotation coming soon
experiment_22	3	4	D3	39	annotation coming soon
experiment_22	4	4	D4	40	annotation coming soon
experiment_22	5	4	D5	41	annotation coming soon
experiment_22	6	4	D6	42	annotation coming soon
experiment_22	7	4	D7	43	annotation coming soon
experiment_22	8	4	D8	44	annotation coming soon
experiment_22	9	4	D9	45	annotation coming soon
experiment_22	10	4	D10	46	annotation coming soon
experiment_22	2	5	E2	50	annotation coming soon
experiment_22	3	5	E3	51	annotation coming soon
experiment_22	4	5	E4	52	annotation coming soon
experiment_22	5	5	E5	53	annotation coming soon
experiment_22	6	5	E6	54	annotation coming soon
experiment_22	7	5	E7	55	annotation coming soon
experiment_22	8	5	E8	56	annotation coming soon
experiment_22	9	5	E9	57	annotation coming soon
experiment_22	10	5	E10	58	annotation coming soon
experiment_23	2	4	D2	38	annotation coming soon
experiment_23	3	4	D3	39	annotation coming soon
experiment_23	4	4	D4	40	annotation coming soon
experiment_23	5	4	D5	41	annotation coming soon
experiment_23	6	4	D6	42	annotation coming soon
experiment_23	7	4	D7	43	annotation coming soon
experiment_23	8	4	D8	44	annotation coming soon
experiment_23	9	4	D9	45	annotation coming soon
experiment_23	10	4	D10	46	annotation coming soon
experiment_23	2	5	E2	50	annotation coming soon
experiment_23	3	5	E3	51	annotation coming soon
experiment_23	4	5	E4	52	annotation coming soon
experiment_23	5	5	E5	53	annotation coming soon
experiment_23	6	5	E6	54	annotation coming soon
experiment_23	7	5	E7	55	annotation coming soon
experiment_23	8	5	E8	56	annotation coming soon
experiment_23	9	5	E9	57	annotation coming soon
experiment_23	10	5	E10	58	annotation coming soon
experiment_24	2	2	B2	14	annotation coming soon
experiment_24	3	2	B3	15	annotation coming soon
experiment_24	4	2	B4	16	annotation coming soon
experiment_24	5	2	B5	17	annotation coming soon
experiment_24	6	2	B6	18	annotation coming soon
experiment_24	7	2	B7	19	annotation coming soon
experiment_24	8	2	B8	20	annotation coming soon
experiment_24	9	2	B9	21	annotation coming soon
experiment_24	10	2	B10	22	annotation coming soon
experiment_24	2	6	F2	62	annotation coming soon
experiment_24	3	6	F3	63	annotation coming soon
experiment_24	4	6	F4	64	annotation coming soon
experiment_24	5	6	F5	65	annotation coming soon
experiment_24	6	6	F6	66	annotation coming soon
experiment_24	7	6	F7	67	annotation coming soon
experiment_24	8	6	F8	68	annotation coming soon
experiment_24	9	6	F9	69	annotation coming soon
experiment_24	10	6	F10	70	annotation coming soon
experiment_24	2	7	G2	74	annotation coming soon
experiment_24	3	7	G3	75	annotation coming soon
experiment_24	4	7	G4	76	annotation coming soon
experiment_24	5	7	G5	77	annotation coming soon
experiment_24	6	7	G6	78	annotation coming soon
experiment_24	7	7	G7	79	annotation coming soon
experiment_24	8	7	G8	80	annotation coming soon
experiment_24	9	7	G9	81	annotation coming soon
experiment_24	10	7	G10	82	annotation coming soon
experiment_25	2	2	B2	14	annotation coming soon
experiment_25	3	2	B3	15	annotation coming soon
experiment_25	4	2	B4	16	annotation coming soon
experiment_25	5	2	B5	17	annotation coming soon
experiment_25	6	2	B6	18	annotation coming soon
experiment_25	7	2	B7	19	annotation coming soon
experiment_25	8	2	B8	20	annotation coming soon
experiment_25	9	2	B9	21	annotation coming soon
experiment_25	10	2	B10	22	annotation coming soon
experiment_25	2	3	C2	26	annotation coming soon
experiment_25	3	3	C3	27	annotation coming soon
experiment_25	4	3	C4	28	annotation coming soon
experiment_25	5	3	C5	29	annotation coming soon
experiment_25	6	3	C6	30	annotation coming soon
experiment_25	7	3	C7	31	annotation coming soon
experiment_25	8	3	C8	32	annotation coming soon
experiment_25	9	3	C9	33	annotation coming soon
experiment_25	10	3	C10	34	annotation coming soon
experiment_25	2	4	D2	38	annotation coming soon
experiment_25	3	4	D3	39	annotation coming soon
experiment_25	4	4	D4	40	annotation coming soon
experiment_25	5	4	D5	41	annotation coming soon
experiment_25	6	4	D6	42	annotation coming soon
experiment_25	7	4	D7	43	annotation coming soon
experiment_25	8	4	D8	44	annotation coming soon
experiment_25	9	4	D9	45	annotation coming soon
experiment_25	10	4	D10	46	annotation coming soon
experiment_25	2	7	G2	74	annotation coming soon
experiment_25	3	7	G3	75	annotation coming soon
experiment_25	4	7	G4	76	annotation coming soon
experiment_25	5	7	G5	77	annotation coming soon
experiment_25	6	7	G6	78	annotation coming soon
experiment_25	7	7	G7	79	annotation coming soon
experiment_25	8	7	G8	80	annotation coming soon
experiment_25	9	7	G9	81	annotation coming soon
experiment_25	10	7	G10	82	annotation coming soon
experiment_26	2	3	C2	26	annotation coming soon
experiment_26	3	3	C3	27	annotation coming soon
experiment_26	4	3	C4	28	annotation coming soon
experiment_26	5	3	C5	29	annotation coming soon
experiment_26	6	3	C6	30	annotation coming soon
experiment_26	7	3	C7	31	annotation coming soon
