Replicate,Plate,Well,Entity Identifier,Entity Identifier Source Database,Entity Identifier Link Stem,Strain Name,Gene Symbol,Control Type,Control Comments
1,X_110213_S2_Blue1300,C11,SPBC4C3.12,Pombase,http://www.pombase.org/spombe/result/,Sep-01,Sep-01,,
1,X_110213_S2_Blue1300,C12,SPBCPT2R1.08c,Pombase,http://www.pombase.org/spombe/result/,tlh2,tlh2,,
1,X_110213_S2_Blue1300,C2,SPAC6B12.15,Pombase,http://www.pombase.org/spombe/result/,cpc2,cpc2,,
1,X_110213_S2_Blue1300,C3,SPACUNK4.19,Pombase,http://www.pombase.org/spombe/result/,mug153,mug153,,
1,X_110213_S2_Blue1300,C4,SPAPB17E12.05,Pombase,http://www.pombase.org/spombe/result/,rpl3703,rpl3703,,
1,X_110213_S2_Blue1300,C5,SPAPB8E5.02c,Pombase,http://www.pombase.org/spombe/result/,rpn502,rpn502,,
1,X_110213_S2_Blue1300,C6,SPBC1539.06,Pombase,http://www.pombase.org/spombe/result/,SPBC1539.06,,,
1,X_110213_S2_Blue1300,C7,SPBC16C6.05,Pombase,http://www.pombase.org/spombe/result/,SPBC16C6.05,,,
1,X_110213_S2_Blue1300,C8,SPBC18H10.07,Pombase,http://www.pombase.org/spombe/result/,SPBC18H10.07,,,
1,X_110213_S2_Blue1300,C9,SPBC24C6.05,Pombase,http://www.pombase.org/spombe/result/,sec28,sec28,,
1,X_110213_S2_Blue1300,D1,SPAC630.11,Pombase,http://www.pombase.org/spombe/result/,vps55,vps55,,
1,X_110213_S2_Blue1300,D10,SPBC32F12.08c,Pombase,http://www.pombase.org/spombe/result/,duo1,duo1,,
1,X_110213_S2_Blue1300,D11,SPBC83.04,Pombase,http://www.pombase.org/spombe/result/,apc15,apc15,,
1,X_110213_S2_Blue1300,D12,SPBP22H7.08,Pombase,http://www.pombase.org/spombe/result/,rps1002,rps1002,,
1,X_110213_S2_Blue1300,D2,SPAC6F6.09,Pombase,http://www.pombase.org/spombe/result/,eaf6,eaf6,,
1,X_110213_S2_Blue1300,D3,SPAP11E10.01,Pombase,http://www.pombase.org/spombe/result/,SPAP11E10.01,,,
1,X_110213_S2_Blue1300,D4,SPAPB17E12.08,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.08,,,
1,X_110213_S2_Blue1300,D5,SPAPJ691.03,Pombase,http://www.pombase.org/spombe/result/,SPAPJ691.03,,,
1,X_110213_S2_Blue1300,D6,SPBC1539.08,Pombase,http://www.pombase.org/spombe/result/,arf6,arf6,,
1,X_110213_S2_Blue1300,D7,SPBC16E9.15,Pombase,http://www.pombase.org/spombe/result/,SPBC16E9.15,,,
1,X_110213_S2_Blue1300,D8,SPBC19F8.01c,Pombase,http://www.pombase.org/spombe/result/,spn7,spn7,,
1,X_110213_S2_Blue1300,D9,SPBC29A10.12,Pombase,http://www.pombase.org/spombe/result/,SPBC29A10.12,,,
1,X_110213_S2_Blue1300,E1,SPAC630.15,Pombase,http://www.pombase.org/spombe/result/,mug177,mug177,,
1,X_110213_S2_Blue1300,E10,SPBC32H8.05,Pombase,http://www.pombase.org/spombe/result/,SPBC32H8.05,,,
1,X_110213_S2_Blue1300,E11,SPBC83.19c,Pombase,http://www.pombase.org/spombe/result/,SPBC83.19c,,,
1,X_110213_S2_Blue1300,E12,SPBP4H10.08,Pombase,http://www.pombase.org/spombe/result/,qcr10,qcr10,,
1,X_110213_S2_Blue1300,E2,SPAC6G9.09c,Pombase,http://www.pombase.org/spombe/result/,rpl2401,rpl2401,,
1,X_110213_S2_Blue1300,E3,SPAP27G11.15,Pombase,http://www.pombase.org/spombe/result/,slx1,slx1,,
1,X_110213_S2_Blue1300,E4,SPAPB17E12.12c,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.12c,,,
1,X_110213_S2_Blue1300,E5,SPBC1105.09,Pombase,http://www.pombase.org/spombe/result/,ubc15,ubc15,,
1,X_110213_S2_Blue1300,E6,SPBC1539.10,Pombase,http://www.pombase.org/spombe/result/,nop16,nop16,,
1,X_110213_S2_Blue1300,E7,SPBC1703.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC1703.08c,,,
1,X_110213_S2_Blue1300,E8,SPBC21B10.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC21B10.08c,,,
1,X_110213_S2_Blue1300,E9,SPBC29A3.21,Pombase,http://www.pombase.org/spombe/result/,SPBC29A3.21,,,
1,X_110213_S2_Blue1300,F1,SPAC664.10,Pombase,http://www.pombase.org/spombe/result/,klp2,klp2,,
1,X_110213_S2_Blue1300,F10,SPBC337.09,Pombase,http://www.pombase.org/spombe/result/,erg28,erg28,,
1,X_110213_S2_Blue1300,F11,SPBC839.14c,Pombase,http://www.pombase.org/spombe/result/,see1,see1,,
1,X_110213_S2_Blue1300,F12,SPBP4H10.12,Pombase,http://www.pombase.org/spombe/result/,SPBP4H10.12,,,
1,X_110213_S2_Blue1300,F2,SPAC750.08c,Pombase,http://www.pombase.org/spombe/result/,SPAC750.08c,,,
1,X_110213_S2_Blue1300,F3,SPAP27G11.16,Pombase,http://www.pombase.org/spombe/result/,SPAP27G11.16,,,
1,X_110213_S2_Blue1300,F4,SPAPB17E12.14c,Pombase,http://www.pombase.org/spombe/result/,SPAPB17E12.14c,,,
1,X_110213_S2_Blue1300,F5,SPBC11C11.07,Pombase,http://www.pombase.org/spombe/result/,rpl1801,rpl1801,,
1,X_110213_S2_Blue1300,F6,SPBC15D4.02,Pombase,http://www.pombase.org/spombe/result/,gsf1,gsf1,,
1,X_110213_S2_Blue1300,F7,SPBC1703.11,Pombase,http://www.pombase.org/spombe/result/,SPBC1703.11,,,
1,X_110213_S2_Blue1300,F8,SPBC21C3.11,Pombase,http://www.pombase.org/spombe/result/,ubx4,ubx4,,
1,X_110213_S2_Blue1300,F9,SPBC29B5.03c,Pombase,http://www.pombase.org/spombe/result/,rpl26,rpl26,,
1,X_110213_S2_Blue1300,G1,SPAC683.03,Pombase,http://www.pombase.org/spombe/result/,SPAC683.03,,,
1,X_110213_S2_Blue1300,G10,SPBC337.16,Pombase,http://www.pombase.org/spombe/result/,cho1,cho1,,
1,X_110213_S2_Blue1300,G11,SPBC887.08,Pombase,http://www.pombase.org/spombe/result/,SPBC887.08,,,
1,X_110213_S2_Blue1300,G12,SPBP8B7.22,Pombase,http://www.pombase.org/spombe/result/,erd2,erd2,,
1,X_110213_S2_Blue1300,G2,SPAC823.02,Pombase,http://www.pombase.org/spombe/result/,SPAC823.02,,,
1,X_110213_S2_Blue1300,G3,SPAPB17E12.02,Pombase,http://www.pombase.org/spombe/result/,yip12,yip12,,
1,X_110213_S2_Blue1300,G4,SPAPB18E9.04c,Pombase,http://www.pombase.org/spombe/result/,SPAPB18E9.04c,,,
1,X_110213_S2_Blue1300,G5,SPBC1348.01,Pombase,http://www.pombase.org/spombe/result/,SPBC1348.01,,,
1,X_110213_S2_Blue1300,G6,SPBC15D4.06,Pombase,http://www.pombase.org/spombe/result/,naa30,naa30,,
1,X_110213_S2_Blue1300,G7,SPBC1709.18,Pombase,http://www.pombase.org/spombe/result/,tif452,tif452,,
1,X_110213_S2_Blue1300,G8,SPBC21D10.08c,Pombase,http://www.pombase.org/spombe/result/,SPBC21D10.08c,,,
1,X_110213_S2_Blue1300,G9,SPBC2D10.16,Pombase,http://www.pombase.org/spombe/result/,mhf1,mhf1,,
1,X_110213_S2_Blue1300,H1,SPAC694.03,Pombase,http://www.pombase.org/spombe/result/,SPAC694.03,,,
1,X_110213_S2_Blue1300,H10,SPBC3B9.05,Pombase,http://www.pombase.org/spombe/result/,SPBC3B9.05,,,
