Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
pro-smt3allR_plate4	E11	pro-smt3allR_plate4_E11	YDR345C	HXT3	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate4	E11	smt3allR_plate4_E11	YDR345C	HXT3	smt3allR	yes	more cytoplasmic signal	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate4	E11	WT_plate4_E11	YDR345C	HXT3	wild type smt3	yes		
pro-smt3allR_plate1	G7	pro-smt3allR_plate1_G7	YDR369C	XRS2	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	G7	smt3allR_plate1_G7	YDR369C	XRS2	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	G7	WT_plate1_G7	YDR369C	XRS2	wild type smt3	yes		
pro-smt3allR_plate2	E3	pro-smt3allR_plate2_E3	YDR463W	STP1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate2	E3	smt3allR_plate2_E3	YDR463W	STP1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate2	E3	WT_plate2_E3	YDR463W	STP1	wild type smt3	yes		
pro-smt3allR_plate2	K21	pro-smt3allR_plate2_K21	YDR465C	RMT2	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate2	K21	smt3allR_plate2_K21	YDR465C	RMT2	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate2	K21	WT_plate2_K21	YDR465C	RMT2	wild type smt3	yes		
pro-smt3allR_plate4	C7	pro-smt3allR_plate4_C7	YDR497C	ITR1	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	C7	smt3allR_plate4_C7	YDR497C	ITR1	smt3allR	yes	very few cells	very few cells
WT_plate4	C7	WT_plate4_C7	YDR497C	ITR1	wild type smt3	yes		
pro-smt3allR_plate1	K17	pro-smt3allR_plate1_K17	YDR499W	LCD1	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	K17	smt3allR_plate1_K17	YDR499W	LCD1	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	K17	WT_plate1_K17	YDR499W	LCD1	wild type smt3	yes		
pro-smt3allR_plate4	M17	pro-smt3allR_plate4_M17	YEL001C	IRC22	pro-smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
smt3allR_plate4	M17	smt3allR_plate4_M17	YEL001C	IRC22	smt3allR	yes	brighter	"the smt3allR mutant cells display a more intense GFP signal, with localization similar to WT"
WT_plate4	M17	WT_plate4_M17	YEL001C	IRC22	wild type smt3	yes		
pro-smt3allR_plate2	E9	pro-smt3allR_plate2_E9	YEL015W	EDC3	pro-smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
smt3allR_plate2	E9	smt3allR_plate2_E9	YEL015W	EDC3	smt3allR	yes	brighter foci	the smt3allR mutant displays brighter foci than WT
WT_plate2	E9	WT_plate2_E9	YEL015W	EDC3	wild type smt3	yes		
smt3allR_plate4	A3	smt3allR_plate4_A3	YER008C	SEC3	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
pro-smt3allR_plate4	A3	pro-smt3allR_plate4_A3	YER008C	SEC3	pro-smt3allR	yes		
WT_plate4	A3	WT_plate4_A3	YER008C	SEC3	wild type smt3	yes		
pro-smt3allR_plate3	K21	pro-smt3allR_plate3_K21	YER035W	EDC2	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K21	smt3allR_plate3_K21	YER035W	EDC2	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K21	WT_plate3_K21	YER035W	EDC2	wild type smt3	yes		
pro-smt3allR_plate3	K5	pro-smt3allR_plate3_K5	YER112W	LSM4	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	K5	smt3allR_plate3_K5	YER112W	LSM4	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	K5	WT_plate3_K5	YER112W	LSM4	wild type smt3	yes		
pro-smt3allR_plate3	M19	pro-smt3allR_plate3_M19	YGL029W	CGR1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	M19	smt3allR_plate3_M19	YGL029W	CGR1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	M19	WT_plate3_M19	YGL029W	CGR1	wild type smt3	yes		
pro-smt3allR_plate3	I1	pro-smt3allR_plate3_I1	YGL037C	PNC1	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate3	I1	smt3allR_plate3_I1	YGL037C	PNC1	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate3	I1	WT_plate3_I1	YGL037C	PNC1	wild type smt3	yes		
pro-smt3allR_plate2	A9	pro-smt3allR_plate2_A9	YGL113W	SLD3	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate2	A9	smt3allR_plate2_A9	YGL113W	SLD3	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate2	A9	WT_plate2_A9	YGL113W	SLD3	wild type smt3	yes		
smt3allR_plate2	O7	smt3allR_plate2_O7	YGL175C	SAE2	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
pro-smt3allR_plate2	O7	pro-smt3allR_plate2_O7	YGL175C	SAE2	pro-smt3allR	yes	no colony	
WT_plate2	O7	WT_plate2_O7	YGL175C	SAE2	wild type smt3	yes		
pro-smt3allR_plate3	G1	pro-smt3allR_plate3_G1	YGR042W	YGR042W	pro-smt3allR	yes	some nuclear foci	the smt3allR mutant population display nuclear foci
smt3allR_plate3	G1	smt3allR_plate3_G1	YGR042W	YGR042W	smt3allR	yes	some nuclear foci	the smt3allR mutant population display nuclear foci
WT_plate3	G1	WT_plate3_G1	YGR042W	YGR042W	wild type smt3	yes		
pro-smt3allR_plate3	A3	pro-smt3allR_plate3_A3	YGR086C	PIL1	pro-smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
smt3allR_plate3	A3	smt3allR_plate3_A3	YGR086C	PIL1	smt3allR	yes	cytoplasmic structures or localization	the smt3allR mutant cells display either cytoplasmic structures or brighter cytoplasmic signal than WT
WT_plate3	A3	WT_plate3_A3	YGR086C	PIL1	wild type smt3	yes		
pro-smt3allR_plate3	G19	pro-smt3allR_plate3_G19	YGR136W	LSB1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate3	G19	smt3allR_plate3_G19	YGR136W	LSB1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate3	G19	WT_plate3_G19	YGR136W	LSB1	wild type smt3	yes		
pro-smt3allR_plate2	O23	pro-smt3allR_plate2_O23	YGR180C	RNR4	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate2	O23	smt3allR_plate2_O23	YGR180C	RNR4	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate2	O23	WT_plate2_O23	YGR180C	RNR4	wild type smt3	yes		
pro-smt3allR_plate2	M3	pro-smt3allR_plate2_M3	YGR187C	HGH1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate2	M3	smt3allR_plate2_M3	YGR187C	HGH1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	M3	WT_plate2_M3	YGR187C	HGH1	wild type smt3	yes		
pro-smt3allR_plate2	G19	pro-smt3allR_plate2_G19	YGR211W	ZPR1	pro-smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
smt3allR_plate2	G19	smt3allR_plate2_G19	YGR211W	ZPR1	smt3allR	yes	more nuclear	the smt3allR GFP signal seems more nuclear than WT
WT_plate2	G19	WT_plate2_G19	YGR211W	ZPR1	wild type smt3	yes		
pro-smt3allR_plate3	E11	pro-smt3allR_plate3_E11	YGR239C	PEX21	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate3	E11	smt3allR_plate3_E11	YGR239C	PEX21	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate3	E11	WT_plate3_E11	YGR239C	PEX21	wild type smt3	yes		
pro-smt3allR_plate4	C13	pro-smt3allR_plate4_C13	YHL028W	WSC4	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate4	C13	smt3allR_plate4_C13	YHL028W	WSC4	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate4	C13	WT_plate4_C13	YHL028W	WSC4	wild type smt3	yes		
pro-smt3allR_plate4	E9	pro-smt3allR_plate4_E9	YHL040C	ARN1	pro-smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
smt3allR_plate4	E9	smt3allR_plate4_E9	YHL040C	ARN1	smt3allR	yes	some foci	the smt3allR mutant displays GFP foci not detected in WT cells
WT_plate4	E9	WT_plate4_E9	YHL040C	ARN1	wild type smt3	yes		
pro-smt3allR_plate4	M7	pro-smt3allR_plate4_M7	YHR039C-A	VMA10	pro-smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
smt3allR_plate4	M7	smt3allR_plate4_M7	YHR039C-A	VMA10	smt3allR	yes	more vacuolated	the smt3allR mutant displays more vacuolar structures
WT_plate4	M7	WT_plate4_M7	YHR039C-A	VMA10	wild type smt3	yes		
pro-smt3allR_plate4	K13	pro-smt3allR_plate4_K13	YHR140W	YHR140W	pro-smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
smt3allR_plate4	K13	smt3allR_plate4_K13	YHR140W	YHR140W	smt3allR	yes	more diffuse	the smt3allR GFP signal is more diffuse than WT
WT_plate4	K13	WT_plate4_K13	YHR140W	YHR140W	wild type smt3	yes		
pro-smt3allR_plate4	K3	pro-smt3allR_plate4_K3	YHR142W	CHS7	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate4	K3	smt3allR_plate4_K3	YHR142W	CHS7	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	K3	WT_plate4_K3	YHR142W	CHS7	wild type smt3	yes		
smt3allR_plate1	A3	smt3allR_plate1_A3	YHR164C	DNA2	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
pro-smt3allR_plate1	A3	pro-smt3allR_plate1_A3	YHR164C	DNA2	pro-smt3allR	yes	no colony	
WT_plate1	A3	WT_plate1_A3	YHR164C	DNA2	wild type smt3	yes		
pro-smt3allR_plate1	I13	pro-smt3allR_plate1_I13	YHR205W	SCH9	pro-smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
smt3allR_plate1	I13	smt3allR_plate1_I13	YHR205W	SCH9	smt3allR	yes	more foci	the smt3allR mutant population displays an increased number of cells with foci
WT_plate1	I13	WT_plate1_I13	YHR205W	SCH9	wild type smt3	yes		
pro-smt3allR_plate4	A15	pro-smt3allR_plate4_A15	YIL048W	NEO1	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
smt3allR_plate4	A15	smt3allR_plate4_A15	YIL048W	NEO1	smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
WT_plate4	A15	WT_plate4_A15	YIL048W	NEO1	wild type smt3	yes		
pro-smt3allR_plate4	A19	pro-smt3allR_plate4_A19	YIL068C	SEC6	pro-smt3allR	yes	odd shaped cells	the smt3allR mutant population contains odd shaped cells
