Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Experimental Condition[genotype]	Changed in allR	Observation	Phenotype
pro-smt3allR_plate3	O13	pro-smt3allR_plate3_O13	YNL162W-A	YNL162W-A	pro-smt3allR	no		
smt3allR_plate3	O13	smt3allR_plate3_O13	YNL162W-A	YNL162W-A	smt3allR	no		
WT_plate3	O13	WT_plate3_O13	YNL162W-A	YNL162W-A	wild type smt3	no		
pro-smt3allR_plate4	G1	pro-smt3allR_plate4_G1	YNL169C	PSD1	pro-smt3allR	no		
smt3allR_plate4	G1	smt3allR_plate4_G1	YNL169C	PSD1	smt3allR	no		
WT_plate4	G1	WT_plate4_G1	YNL169C	PSD1	wild type smt3	no		
pro-smt3allR_plate4	G7	pro-smt3allR_plate4_G7	YNL173C	MDG1	pro-smt3allR	no		
smt3allR_plate4	G7	smt3allR_plate4_G7	YNL173C	MDG1	smt3allR	no		
WT_plate4	G7	WT_plate4_G7	YNL173C	MDG1	wild type smt3	no		
pro-smt3allR_plate2	C7	pro-smt3allR_plate2_C7	YNL176C	YNL176C	pro-smt3allR	no		
smt3allR_plate2	C7	smt3allR_plate2_C7	YNL176C	YNL176C	smt3allR	no		
WT_plate2	C7	WT_plate2_C7	YNL176C	YNL176C	wild type smt3	no		
pro-smt3allR_plate3	M17	pro-smt3allR_plate3_M17	YNL198C	YNL198C	pro-smt3allR	no	very few cells	
smt3allR_plate3	M17	smt3allR_plate3_M17	YNL198C	YNL198C	smt3allR	no	very few cells	
WT_plate3	M17	WT_plate3_M17	YNL198C	YNL198C	wild type smt3	no		
pro-smt3allR_plate3	O19	pro-smt3allR_plate3_O19	YNL211C	YNL211C	pro-smt3allR	no		
smt3allR_plate3	O19	smt3allR_plate3_O19	YNL211C	YNL211C	smt3allR	no		
WT_plate3	O19	WT_plate3_O19	YNL211C	YNL211C	wild type smt3	no		
pro-smt3allR_plate4	O7	pro-smt3allR_plate4_O7	YNL224C	SQS1	pro-smt3allR	no		
smt3allR_plate4	O7	smt3allR_plate4_O7	YNL224C	SQS1	smt3allR	no		
WT_plate4	O7	WT_plate4_O7	YNL224C	SQS1	wild type smt3	no		
pro-smt3allR_plate2	O21	pro-smt3allR_plate2_O21	YNL231C	PDR16	pro-smt3allR	no		
smt3allR_plate2	O21	smt3allR_plate2_O21	YNL231C	PDR16	smt3allR	no		
WT_plate2	O21	WT_plate2_O21	YNL231C	PDR16	wild type smt3	no		
pro-smt3allR_plate1	A15	pro-smt3allR_plate1_A15	YNL242W	ATG2	pro-smt3allR	no		
smt3allR_plate1	A15	smt3allR_plate1_A15	YNL242W	ATG2	smt3allR	no		
WT_plate1	A15	WT_plate1_A15	YNL242W	ATG2	wild type smt3	no		
smt3allR_plate3	C11	smt3allR_plate3_C11	YNL312W	RFA2	smt3allR	no	no cells	
pro-smt3allR_plate3	C11	pro-smt3allR_plate3_C11	YNL312W	RFA2	pro-smt3allR	no	no foci	
WT_plate3	C11	WT_plate3_C11	YNL312W	RFA2	wild type smt3	no		
pro-smt3allR_plate4	I7	pro-smt3allR_plate4_I7	YNL336W	COS1	pro-smt3allR	no		
smt3allR_plate4	I7	smt3allR_plate4_I7	YNL336W	COS1	smt3allR	no		
WT_plate4	I7	WT_plate4_I7	YNL336W	COS1	wild type smt3	no		
pro-smt3allR_plate4	M1	pro-smt3allR_plate4_M1	YNR049C	MSO1	pro-smt3allR	no		
smt3allR_plate4	M1	smt3allR_plate4_M1	YNR049C	MSO1	smt3allR	no		
WT_plate4	M1	WT_plate4_M1	YNR049C	MSO1	wild type smt3	no		
pro-smt3allR_plate4	K23	pro-smt3allR_plate4_K23	YNR061C	YNR061C	pro-smt3allR	no		
smt3allR_plate4	K23	smt3allR_plate4_K23	YNR061C	YNR061C	smt3allR	no		
WT_plate4	K23	WT_plate4_K23	YNR061C	YNR061C	wild type smt3	no		
pro-smt3allR_plate3	A7	pro-smt3allR_plate3_A7	YOL007C	CSI2	pro-smt3allR	no		
smt3allR_plate3	A7	smt3allR_plate3_A7	YOL007C	CSI2	smt3allR	no		
WT_plate3	A7	WT_plate3_A7	YOL007C	CSI2	wild type smt3	no		
pro-smt3allR_plate2	I7	pro-smt3allR_plate2_I7	YOL061W	PRS5	pro-smt3allR	no		
smt3allR_plate2	I7	smt3allR_plate2_I7	YOL061W	PRS5	smt3allR	no		
WT_plate2	I7	WT_plate2_I7	YOL061W	PRS5	wild type smt3	no		
pro-smt3allR_plate1	E17	pro-smt3allR_plate1_E17	YOL090W	Msh2	pro-smt3allR	no		
smt3allR_plate1	E17	smt3allR_plate1_E17	YOL090W	Msh2	smt3allR	no		
WT_plate1	E17	WT_plate1_E17	YOL090W	Msh2	wild type smt3	no		
pro-smt3allR_plate4	K11	pro-smt3allR_plate4_K11	YOL101C	IZH4	pro-smt3allR	no		
smt3allR_plate4	K11	smt3allR_plate4_K11	YOL101C	IZH4	smt3allR	no		
WT_plate4	K11	WT_plate4_K11	YOL101C	IZH4	wild type smt3	no		
pro-smt3allR_plate2	M7	pro-smt3allR_plate2_M7	YOL116W	MSN1	pro-smt3allR	no		
smt3allR_plate2	M7	smt3allR_plate2_M7	YOL116W	MSN1	smt3allR	no		
WT_plate2	M7	WT_plate2_M7	YOL116W	MSN1	wild type smt3	no		
pro-smt3allR_plate3	A5	pro-smt3allR_plate3_A5	YOL151W	GRE2	pro-smt3allR	no		
smt3allR_plate3	A5	smt3allR_plate3_A5	YOL151W	GRE2	smt3allR	no		
WT_plate3	A5	WT_plate3_A5	YOL151W	GRE2	wild type smt3	no		
pro-smt3allR_plate3	A17	pro-smt3allR_plate3_A17	YOR006C	TSR3	pro-smt3allR	no		
smt3allR_plate3	A17	smt3allR_plate3_A17	YOR006C	TSR3	smt3allR	no		
WT_plate3	A17	WT_plate3_A17	YOR006C	TSR3	wild type smt3	no		
smt3allR_plate1	K21	smt3allR_plate1_K21	YOR014W	RTS1	smt3allR	no	no colony	
pro-smt3allR_plate1	K21	pro-smt3allR_plate1_K21	YOR014W	RTS1	pro-smt3allR	no		
WT_plate1	K21	WT_plate1_K21	YOR014W	RTS1	wild type smt3	no		
pro-smt3allR_plate1	O1	pro-smt3allR_plate1_O1	YOR033C	EXO1	pro-smt3allR	no		
smt3allR_plate1	O1	smt3allR_plate1_O1	YOR033C	EXO1	smt3allR	no		
WT_plate1	O1	WT_plate1_O1	YOR033C	EXO1	wild type smt3	no		
pro-smt3allR_plate2	I11	pro-smt3allR_plate2_I11	YOR056C	NOB1	pro-smt3allR	no		
smt3allR_plate2	I11	smt3allR_plate2_I11	YOR056C	NOB1	smt3allR	no		
WT_plate2	I11	WT_plate2_I11	YOR056C	NOB1	wild type smt3	no		
pro-smt3allR_plate4	C17	pro-smt3allR_plate4_C17	YOR092W	ECM3	pro-smt3allR	no		
smt3allR_plate4	C17	smt3allR_plate4_C17	YOR092W	ECM3	smt3allR	no		
WT_plate4	C17	WT_plate4_C17	YOR092W	ECM3	wild type smt3	no		
pro-smt3allR_plate4	G23	pro-smt3allR_plate4_G23	YOR099W	KTR1	pro-smt3allR	no		
smt3allR_plate4	G23	smt3allR_plate4_G23	YOR099W	KTR1	smt3allR	no		
WT_plate4	G23	WT_plate4_G23	YOR099W	KTR1	wild type smt3	no		
pro-smt3allR_plate1	E7	pro-smt3allR_plate1_E7	YOR127W	RGA1	pro-smt3allR	no		
smt3allR_plate1	E7	smt3allR_plate1_E7	YOR127W	RGA1	smt3allR	no		
WT_plate1	E7	WT_plate1_E7	YOR127W	RGA1	wild type smt3	no		
pro-smt3allR_plate1	M15	pro-smt3allR_plate1_M15	YOR156C	Siz2	pro-smt3allR	no		
smt3allR_plate1	M15	smt3allR_plate1_M15	YOR156C	Siz2	smt3allR	no		
WT_plate1	M15	WT_plate1_M15	YOR156C	Siz2	wild type smt3	no		
pro-smt3allR_plate1	C21	pro-smt3allR_plate1_C21	YOR160W	MTR10	pro-smt3allR	no		
smt3allR_plate1	C21	smt3allR_plate1_C21	YOR160W	MTR10	smt3allR	no		
WT_plate1	C21	WT_plate1_C21	YOR160W	MTR10	wild type smt3	no		
pro-smt3allR_plate1	K3	pro-smt3allR_plate1_K3	YOR165W	SEY1	pro-smt3allR	no	no colony	
smt3allR_plate1	K3	smt3allR_plate1_K3	YOR165W	SEY1	smt3allR	no		
WT_plate1	K3	WT_plate1_K3	YOR165W	SEY1	wild type smt3	no		
pro-smt3allR_plate2	A7	pro-smt3allR_plate2_A7	YOR249C	APC5	pro-smt3allR	no		
smt3allR_plate2	A7	smt3allR_plate2_A7	YOR249C	APC5	smt3allR	no		
WT_plate2	A7	WT_plate2_A7	YOR249C	APC5	wild type smt3	no		
pro-smt3allR_plate3	I7	pro-smt3allR_plate3_I7	YOR258W	HNT3	pro-smt3allR	no		
smt3allR_plate3	I7	smt3allR_plate3_I7	YOR258W	HNT3	smt3allR	no		
WT_plate3	I7	WT_plate3_I7	YOR258W	HNT3	wild type smt3	no		
pro-smt3allR_plate4	I21	pro-smt3allR_plate4_I21	YOR311C	DGK1	pro-smt3allR	no		
smt3allR_plate4	I21	smt3allR_plate4_I21	YOR311C	DGK1	smt3allR	no		
WT_plate4	I21	WT_plate4_I21	YOR311C	DGK1	wild type smt3	no		
pro-smt3allR_plate3	A13	pro-smt3allR_plate3_A13	YOR342C	YOR342C	pro-smt3allR	no		
smt3allR_plate3	A13	smt3allR_plate3_A13	YOR342C	YOR342C	smt3allR	no		
WT_plate3	A13	WT_plate3_A13	YOR342C	YOR342C	wild type smt3	no		
pro-smt3allR_plate1	E1	pro-smt3allR_plate1_E1	YOR346W	REV1	pro-smt3allR	no	no colony	
smt3allR_plate1	E1	smt3allR_plate1_E1	YOR346W	REV1	smt3allR	no		
WT_plate1	E1	WT_plate1_E1	YOR346W	REV1	wild type smt3	no		
pro-smt3allR_plate1	G21	pro-smt3allR_plate1_G21	YOR373W	NUD1	pro-smt3allR	no		
smt3allR_plate1	G21	smt3allR_plate1_G21	YOR373W	NUD1	smt3allR	no		
WT_plate1	G21	WT_plate1_G21	YOR373W	NUD1	wild type smt3	no		
pro-smt3allR_plate2	G7	pro-smt3allR_plate2_G7	YOR374W	ALD4	pro-smt3allR	no		
smt3allR_plate2	G7	smt3allR_plate2_G7	YOR374W	ALD4	smt3allR	no		
WT_plate2	G7	WT_plate2_G7	YOR374W	ALD4	wild type smt3	no		
pro-smt3allR_plate1	C3	pro-smt3allR_plate1_C3	YPL012W	RRP12	pro-smt3allR	no		
smt3allR_plate1	C3	smt3allR_plate1_C3	YPL012W	RRP12	smt3allR	no		
WT_plate1	C3	WT_plate1_C3	YPL012W	RRP12	wild type smt3	no		
smt3allR_plate4	O3	smt3allR_plate4_O3	YPL020C	Ulp1	smt3allR	no	very few cells	
pro-smt3allR_plate4	O3	pro-smt3allR_plate4_O3	YPL020C	Ulp1	pro-smt3allR	no		
WT_plate4	O3	WT_plate4_O3	YPL020C	Ulp1	wild type smt3	no		
pro-smt3allR_plate1	I17	pro-smt3allR_plate1_I17	YPL032C	SVL3	pro-smt3allR	no		
smt3allR_plate1	I17	smt3allR_plate1_I17	YPL032C	SVL3	smt3allR	no		
WT_plate1	I17	WT_plate1_I17	YPL032C	SVL3	wild type smt3	no		
pro-smt3allR_plate1	K23	pro-smt3allR_plate1_K23	YPL074W	YTA6	pro-smt3allR	no		
smt3allR_plate1	K23	smt3allR_plate1_K23	YPL074W	YTA6	smt3allR	no		
WT_plate1	K23	WT_plate1_K23	YPL074W	YTA6	wild type smt3	no		
smt3allR_plate1	I5	smt3allR_plate1_I5	YPL153C	RAD53	smt3allR	no	no colony	
pro-smt3allR_plate1	I5	pro-smt3allR_plate1_I5	YPL153C	RAD53	pro-smt3allR	no		
WT_plate1	I5	WT_plate1_I5	YPL153C	RAD53	wild type smt3	no		
pro-smt3allR_plate1	M1	pro-smt3allR_plate1_M1	YPL158C	AIM44	pro-smt3allR	no		
smt3allR_plate1	M1	smt3allR_plate1_M1	YPL158C	AIM44	smt3allR	no		
WT_plate1	M1	WT_plate1_M1	YPL158C	AIM44	wild type smt3	no		
pro-smt3allR_plate1	A17	pro-smt3allR_plate1_A17	YPL242C	IQG1	pro-smt3allR	no		
smt3allR_plate1	A17	smt3allR_plate1_A17	YPL242C	IQG1	smt3allR	no		
WT_plate1	A17	WT_plate1_A17	YPL242C	IQG1	wild type smt3	no		
pro-smt3allR_plate1	G1	pro-smt3allR_plate1_G1	YPL249C	GYP5	pro-smt3allR	no	no colony	
smt3allR_plate1	G1	smt3allR_plate1_G1	YPL249C	GYP5	smt3allR	no		
WT_plate1	G1	WT_plate1_G1	YPL249C	GYP5	wild type smt3	no		
pro-smt3allR_plate4	I9	pro-smt3allR_plate4_I9	YPL255W	BBP1	pro-smt3allR	no		
smt3allR_plate4	I9	smt3allR_plate4_I9	YPL255W	BBP1	smt3allR	no		
WT_plate4	I9	WT_plate4_I9	YPL255W	BBP1	wild type smt3	no		
pro-smt3allR_plate4	C19	pro-smt3allR_plate4_C19	YPL265W	DIP5	pro-smt3allR	no		
smt3allR_plate4	C19	smt3allR_plate4_C19	YPL265W	DIP5	smt3allR	no		
WT_plate4	C19	WT_plate4_C19	YPL265W	DIP5	wild type smt3	no		
pro-smt3allR_plate1	M23	pro-smt3allR_plate1_M23	YPR008W	HAA1	pro-smt3allR	no		
smt3allR_plate1	M23	smt3allR_plate1_M23	YPR008W	HAA1	smt3allR	no		
WT_plate1	M23	WT_plate1_M23	YPR008W	HAA1	wild type smt3	no		
pro-smt3allR_plate4	M9	pro-smt3allR_plate4_M9	YPR028W	YOP1	pro-smt3allR	no		
smt3allR_plate4	M9	smt3allR_plate4_M9	YPR028W	YOP1	smt3allR	no		
WT_plate4	M9	WT_plate4_M9	YPR028W	YOP1	wild type smt3	no		
pro-smt3allR_plate3	I3	pro-smt3allR_plate3_I3	YPR174C	YPR174C	pro-smt3allR	no	no cells	
smt3allR_plate3	I3	smt3allR_plate3_I3	YPR174C	YPR174C	smt3allR	no		
WT_plate3	I3	WT_plate3_I3	YPR174C	YPR174C	wild type smt3	no		
